player,moving_from,moving_to,fee,date,register_country
Alessandro Longoni,Milan Futuro,Paris Saint-Germain,fromMilan Futuro,Summer 2026,France
Mika Godts,Ajax,Paris Saint-Germain,fromAjax,Summer 2026,France
Gonçalo Ramos,Paris Saint-Germain,Milan,toMilan,Summer 2026,France
Bradley Barcola,Paris Saint-Germain,Liverpool,toLiverpool,Summer 2026,France
Mathis Jangéal,Paris Saint-Germain,Famalicão,toFamalicão,Summer 2026,France
Noah Nsoki,Paris Saint-Germain,Dinamo Zagreb,toDinamo Zagreb,Summer 2026,France
Ibrahim Mbaye,Paris Saint-Germain,Aston Villa,toAston Villa,Summer 2026,France
Pierre Mounguengue,Paris Saint-Germain,Dynamo Kyiv,toDynamo Kyiv,Summer 2026,France
Renato Marin,Paris Saint-Germain,Nacional,on loan toNacional,Summer 2026,France
Naoufel El Hannach,Paris Saint-Germain,Montpellier,on loan toMontpellier,Summer 2026,France
Noham Kamara,Paris Saint-Germain,Lyon,"toLyon, previously on loan",Summer 2026,France
Yoram Zague,Paris Saint-Germain,Pafos,"on loan toPafos, previously on loan atEupen",Summer 2026,France
Khalil Ayari,Paris Saint-Germain,Dunkerque,on loan toDunkerque,Summer 2026,France
Ilyes Housni,Paris Saint-Germain,Nancy,toNancy,Summer 2026,France
Randal Kolo Muani,Paris Saint-Germain,Juventus,"toJuventus, previously on loan atTottenham Hotspur",Summer 2026,France
Maik Nawrocki,Celtic,Lens,"fromCeltic, previously on loan atHannover 96",Summer 2026,France
Thorgan Hazard,Anderlecht,Lens,fromAnderlecht,Summer 2026,France
Jean-Clair Todibo,West Ham United,Lens,on loan fromWest Ham United,Summer 2026,France
Michał Skóraś,Gent,Lens,fromGent,Summer 2026,France
Junior Kadile,Servette,Lens,on loan fromServette,Summer 2026,France
Hervé Koffi,Angers,Lens,loan return fromAngers,Summer 2026,France
Allan Saint-Maximin,Lens,Charlotte FC,toCharlotte FC,Summer 2026,France
Rayan Fofana,Lens,Le Havre,on loan toLe Havre,Summer 2026,France
Fodé Sylla,Lens,Sion,toSion,Summer 2026,France
Anthony Bermont,Lens,Angers,on loan toAngers,Summer 2026,France
Arthur Masuaku,Lens,Sunderland,loan return toSunderland,Summer 2026,France
Adrien Thomasson,Lens,Rennes,toRennes,Summer 2026,France
Alpha Diallo,Lens,Laval,toLaval,Summer 2026,France
Yannick Pandor,Lens,Amiens,"toAmiens, previously on loan atFrancs Borains",Summer 2026,France
Ilan Ducourtioux,Lens,Le Puy,on loan toLe Puy,Summer 2026,France
Anass Zaroury,Lens,Panathinaikos,"toPanathinaikos, previously on loan",Summer 2026,France
Gabin Capuano,Lens,Quevilly-Rouen,"on loan toQuevilly-Rouen, previously on loan atBoulogne",Summer 2026,France
Samuel Dié,Lens,Cannes,on loan toCannes,Summer 2026,France
Kembo Diliwidi,Lens,Dender,"toDender, previously on loan atQuevilly-Rouen",Summer 2026,France
Goduine Koyalipou,Lens,Kortrijk,"on loan toKortrijk, previously on loan atAngers",Summer 2026,France
Loun Srdanović,Servette,Lille,fromServette,Summer 2026,France
Dilane Bakwa,Nottingham Forest,Lille,on loan fromNottingham Forest,Summer 2026,France
Başar Önal,NEC,Lille,fromNEC,Summer 2026,France
Matias Fernandez-Pardo,Lille,Newcastle United,toNewcastle United,Summer 2026,France
Thomas Meunier,Lille,Sunderland,toSunderland,Summer 2026,France
Marius Broholm,Lille,Utrecht,on loan toUtrecht,Summer 2026,France
Ayyoub Bouaddi,Lille,Manchester City,toManchester City,Summer 2026,France
Lilian Baret,Lille,Le Puy,toLe Puy,Summer 2026,France
Younes Lachaab,Lille,Sabah,on loan toSabah,Summer 2026,France
Vincent Burlet,Lille,Cracovia,"toCracovia, previously on loan atBoulogne",Summer 2026,France
Morgan Costarelli,Lille,Cambuur,toCambuur,Summer 2026,France
Rafael Fernandes,Lille,Marítimo,on loan toMarítimo,Summer 2026,France
Stéphane Noumbissie,Lille,Sigma Olomouc,on loan toSigma Olomouc,Summer 2026,France
Ichem Ferrah,Lille,Pisa,"toPisa, previously on loan atCambuur",Summer 2026,France
Ugo Raghouber,Lille,Burnley,"toBurnley, previously on loan atLevante",Summer 2026,France
Mads Bidstrup,Red Bull Salzburg,Lyon,fromRed Bull Salzburg,Summer 2026,France
Zachary Athekame,Milan,Lyon,on loan fromMilan,Summer 2026,France
Loïs Openda,Juventus,Lyon,on loan fromJuventus,Summer 2026,France
Kaïl Boudache,Nice,Lyon,fromNice,Summer 2026,France
Mohamed Ouédraogo,SCR Altach,Lyon,fromSCR Altach,Summer 2026,France
Alejandro Gomes Rodríguez,Annecy,Lyon,loan return fromAnnecy,Summer 2026,France
Malick Fofana,Lyon,Sunderland,toSunderland,Summer 2026,France
Ainsley Maitland-Niles,Lyon,Everton,toEverton,Summer 2026,France
Matt Turner,Lyon,New England Revolution,on loan toNew England Revolution,Summer 2026,France
Daryll Benlahlou,Lyon,Montpellier,on loan toMontpellier,Summer 2026,France
Martín Satriano,Lyon,Getafe,"toGetafe, previously on loan",Summer 2026,France
Gerónimo Rulli,Marseille,Manchester City,toManchester City,Summer 2026,France
Leonardo Balerdi,Marseille,Roma,on loan toRoma,Summer 2026,France
Mason Greenwood,Marseille,Fenerbahçe,toFenerbahçe,Summer 2026,France
Pierre-Emerick Aubameyang,Marseille,Deportivo A Coruña,toDeportivo A Coruña,Summer 2026,France
Hamed Traorè,Marseille,Genoa,on loan toGenoa,Summer 2026,France
Quinten Timber,Marseille,Crystal Palace,toCrystal Palace,Summer 2026,France
Gonçalo Oliveira,Benfica B,Rennes,fromBenfica B,Summer 2026,France
Nicolas Lemaître,Troyes,Rennes,fromTroyes,Summer 2026,France
Issa Soumaré,Le Havre,Rennes,fromLe Havre,Summer 2026,France
Bryan Reynolds,Westerlo,Rennes,fromWesterlo,Summer 2026,France
Eliezer Mayenda,Sunderland,Rennes,fromSunderland,Summer 2026,France
Glen Kamara,Rennes,Queens Park Rangers,on loan toQueens Park Rangers,Summer 2026,France
Mathys Silistrie,Rennes,Quevilly-Rouen,on loan toQuevilly-Rouen,Summer 2026,France
Jérémy Jacquet,Rennes,Liverpool,toLiverpool,Summer 2026,France
Jordan James,Rennes,Wolverhampton Wanderers,"on loan toWolverhampton Wanderers, previously on loan atLeicester City",Summer 2026,France
Ansu Fati,Barcelona,Monaco,"fromBarcelona, previously on loan",Summer 2026,France
Flávio Nazinho,Cercle Brugge,Monaco,fromCercle Brugge,Summer 2026,France
Sadibou Sané,Metz,Monaco,fromMetz,Summer 2026,France
Lucas Michal,Metz,Monaco,loan return fromMetz,Summer 2026,France
Mathys Detourbet,Manchester City,Monaco,on loan fromManchester City,Summer 2026,France
Caio Henrique,Monaco,Ajax,toAjax,Summer 2026,France
Kassoum Ouattara,Monaco,Beşiktaş,toBeşiktaş,Summer 2026,France
Simon Adingra,Monaco,Sunderland,loan return toSunderland,Summer 2026,France
Wout Faes,Monaco,Leicester City,loan return toLeicester City,Summer 2026,France
Yanis Benchaouch,Monaco,Red Star,toRed Star,Summer 2026,France
Radosław Majecki,Monaco,Pafos,"on loan toPafos, previously on loan atBrest",Summer 2026,France
Valy Konaté,Monaco,Cercle Brugge,on loan toCercle Brugge,Summer 2026,France
Boubakar Dembaga,Monaco,Charleroi,toCharleroi,Summer 2026,France
Filip Jörgensen,Chelsea,Strasbourg,on loan fromChelsea,Summer 2026,France
Miłosz Piekutowski,Jagiellonia Białystok,Strasbourg,fromJagiellonia Białystok,Summer 2026,France
Mateo Del Blanco,Unión Santa Fe,Strasbourg,fromUnión Santa Fe,Summer 2026,France
Diogo Sousa,Vitória Guimarães,Strasbourg,fromVitória Guimarães,Summer 2026,France
Omari Kellyman,Chelsea,Strasbourg,"fromChelsea, previously on loan atCardiff City",Summer 2026,France
Benjamin Brantlind,Göteborg,Strasbourg,fromGöteborg,Summer 2026,France
Dário Essugo,Chelsea,Strasbourg,on loan fromChelsea,Summer 2026,France
Deivid Washington,Chelsea,Strasbourg,fromChelsea,Summer 2026,France
Ben Chilwell,Strasbourg,Crystal Palace,toCrystal Palace,Summer 2026,France
Diego Moreira,Strasbourg,Milan,toMilan,Summer 2026,France
Emmanuel Emegha,Strasbourg,Chelsea,toChelsea,Summer 2026,France
Julio Enciso,Strasbourg,Ipswich Town,toIpswich Town,Summer 2026,France
Valentín Barco,Strasbourg,Chelsea,toChelsea,Summer 2026,France
Abdoul Ouattara,Strasbourg,Ipswich Town,toIpswich Town,Summer 2026,France
Soumaïla Coulibaly,Strasbourg,Watford,"on loan toWatford, previously on loan atBrest",Summer 2026,France
Stefan Bajic,Strasbourg,Alemannia Aachen,toAlemannia Aachen,Summer 2026,France
Yoni Gomis,Strasbourg,Beveren,on loan toBeveren,Summer 2026,France
Rabby Nzingoula,Strasbourg,West Bromwich Albion,"toWest Bromwich Albion, previously on loan at1. FC Nürnberg",Summer 2026,France
Christ Tapé,AC Horsens,Toulouse,fromAC Horsens,Summer 2026,France
David Odogu,Milan,Toulouse,on loan fromMilan,Summer 2026,France
Ismaïl Diallo,Dijon,Toulouse,fromDijon,Summer 2026,France
Ylies Aradj,Laval,Toulouse,loan return fromLaval,Summer 2026,France
Kjetil Haug,Toulouse,Go Ahead Eagles,toGo Ahead Eagles,Summer 2026,France
Emersonn,Toulouse,Ipswich Town,toIpswich Town,Summer 2026,France
Álex Domínguez,Toulouse,Ponferradina,toPonferradina,Summer 2026,France
Ibrahim Cissoko,Toulouse,PEC Zwolle,"toPEC Zwolle, previously on loan atBolton Wanderers",Summer 2026,France
Edhy Zuliani,Toulouse,VVV-Venlo,"toVVV-Venlo, previously on loan atPau",Summer 2026,France
Alec Georgen,Dunkerque,Lorient,fromDunkerque,Summer 2026,France
Isak Jensen,AZ,Lorient,on loan fromAZ,Summer 2026,France
Gabin Bernardeau,Nice,Lorient,fromNice,Summer 2026,France
Nosa Edward Obaretin,Napoli,Lorient,on loan fromNapoli,Summer 2026,France
Laurent Abergel,Lorient,Nice,toNice,Summer 2026,France
Pablo Pagis,Lorient,Paris FC,toParis FC,Summer 2026,France
Sambou Soumano,Lorient,Reims,toReims,Summer 2026,France
Darlin Yongwa,Lorient,Norwich City,toNorwich City,Summer 2026,France
Joel Mvuka,Lorient,Bodø/Glimt,"toBodø/Glimt, previously on loan atCeltic",Summer 2026,France
Luca Koleosho,Burnley,Paris FC,"fromBurnley, previously on loan",Summer 2026,France
Diego Coppola,Brighton & Hove Albion,Paris FC,"fromBrighton & Hove Albion, previously on loan",Summer 2026,France
Emmanuel Mbemba,Paris Saint-Germain U19,Paris FC,fromParis Saint-Germain U19,Summer 2026,France
Andria Kvirikadze,Dinamo Tbilisi,Paris FC,fromDinamo Tbilisi,Summer 2026,France
Lassine Sinayoko,Auxerre,Paris FC,fromAuxerre,Summer 2026,France
Willem Geubbels,Paris FC,Lecce,toLecce,Summer 2026,France
Mathieu Cafaro,Paris FC,Nantes,toNantes,Summer 2026,France
Anis Fatahine,Paris FC,Le Puy,on loan toLe Puy,Summer 2026,France
Lohann Doucet,Paris FC,Vitória de Guimarães,"toVitória de Guimarães, previously on loan atDunkerque",Summer 2026,France
Kyliann Fofana,Paris FC,Grenoble,toGrenoble,Summer 2026,France
Zakarya Khaldi,Paris FC,Roda JC,toRoda JC,Summer 2026,France
Noé Poillion,Metz,Brest,fromMetz,Summer 2026,France
Radosław Majecki,Brest,Monaco,"loan return toMonaco, later loaned toPafos",Summer 2026,France
Daouda Guindo,Brest,Reims,toReims,Summer 2026,France
Grégoire Coudert,Brest,Burnley,toBurnley,Summer 2026,France
Soumaïla Coulibaly,Brest,Strasbourg,"loan return toStrasbourg, later loaned toWatford",Summer 2026,France
Anthony Lopes,Nantes,Angers,fromNantes,Summer 2026,France
Branco van den Boomen,Ajax,Angers,"fromAjax, previously on loan",Summer 2026,France
Amine El Ouazzani,Braga,Angers,on loan fromBraga,Summer 2026,France
Usman Simbakoli,RWDM Brussels,Angers,fromRWDM Brussels,Summer 2026,France
Goduine Koyalipou,Angers,Lens,"loan return toLens, later loaned toKortrijk",Summer 2026,France
Florent Hanin,Angers,Nea Salamis Famagusta,toNea Salamis Famagusta,Summer 2026,France
Lanroy Machine,Angers,Heerenveen,on loan toHeerenveen,Summer 2026,France
Kaito Mizuta,Rot-Weiss Essen,Le Havre,fromRot-Weiss Essen,Summer 2026,France
Vincent Sasso,Dunkerque,Le Havre,fromDunkerque,Summer 2026,France
Timothée Pembélé,Sunderland,Le Havre,"fromSunderland, previously on loan",Summer 2026,France
Sōta Nakamura,Sanfrecce Hiroshima,Le Havre,on loan fromSanfrecce Hiroshima,Summer 2026,France
Loïc Négo,Le Havre,Omonia,toOmonia,Summer 2026,France
Lucas Gourna-Douath,Le Havre,Red Bull Salzburg,loan return toRed Bull Salzburg,Summer 2026,France
Axel Tuanzebe,Burnley,Auxerre,fromBurnley,Summer 2026,France
Cameron Archer,Southampton,Auxerre,on loan fromSouthampton,Summer 2026,France
Christ Makosso,Luton Town,Auxerre,"fromLuton Town, previously on loan atOxford United",Summer 2026,France
Danny Namaso,Porto,Auxerre,"fromPorto, previously on loan",Summer 2026,France
Mamadou Diop,Grenoble,Auxerre,fromGrenoble,Summer 2026,France
Romain Faivre,Bournemouth,Auxerre,on loan fromBournemouth,Summer 2026,France
Arthur Piedfort,Westerlo,Auxerre,fromWesterlo,Summer 2026,France
Wei Xiangxin,Meizhou Hakka,Auxerre,fromMeizhou Hakka,Summer 2026,France
Sékou Fofana,Lausanne-Sport,Auxerre,fromLausanne-Sport,Summer 2026,France
Eros Maddy,Laval,Auxerre,loan return fromLaval,Summer 2026,France
Théo De Percin,Auxerre,Bastia,on loan toBastia,Summer 2026,France
Saad Agouzoul,Auxerre,Sochaux,"toSochaux, previously on loan atOmonia",Summer 2026,France
Theo Bair,Auxerre,Bolton Wanderers,"on loan toBolton Wanderers, previously on loan atLausanne-Sport",Summer 2026,France
Hamza Koutoune,Annecy,Nice,loan return fromAnnecy,Summer 2026,France
Charles Vanhoutte,Nice,Feyenoord,toFeyenoord,Summer 2026,France
Mohamed-Ali Cho,Nice,Hull City,toHull City,Summer 2026,France
Melvin Bard,Nice,Leeds United,on loan toLeeds United,Summer 2026,France
Maxime Dupé,Nice,Nantes,toNantes,Summer 2026,France
Kevin Carlos,Nice,Cagliari,on loan toCagliari,Summer 2026,France
Mattia Viti,Nice,Sampdoria,"toSampdoria, previously on loan",Summer 2026,France
Jérémie Boga,Nice,Juventus,"toJuventus, previously on loan",Summer 2026,France
Rareș Ilie,Nice,Mantova,"toMantova, previously on loan atEmpoli",Summer 2026,France
Aliou Baldé,Nice,St. Gallen,"toSt. Gallen, previously on loan",Summer 2026,France
Patrick Beach,Melbourne City,Troyes,fromMelbourne City,Summer 2026,France
Iron Gomis,Zira,Troyes,fromZira,Summer 2026,France
Mathys Detourbet,Troyes,Manchester City,"toManchester City, later loaned toMonaco",Summer 2026,France
Tawfik Bentayeb,Troyes,UTS Rabat,loan return toUTS Rabat,Summer 2026,France
Hugo Gambor,Troyes,Gent,loan return toGent,Summer 2026,France
Yasser Larouci,Troyes,Le Mans,"toLe Mans, previously on loan atA.E. Kifisia",Summer 2026,France
Amar Fatah,Troyes,Lecce,"toLecce, previously on loan atDundee United",Summer 2026,France
Billal Brahimi,Santos,Le Mans,"fromSantos, previously on loan atEstrela da Amadora",Summer 2026,France
Louis Mafouta,Guingamp,Le Mans,fromGuingamp,Summer 2026,France
Taylor Luvambo,Le Mans,Argeș Pitești,toArgeș Pitești,Summer 2026,France
Wilitty Younoussa,Rodez,Nantes,fromRodez,Summer 2026,France
Antoine Joujou,Parma,Nantes,"fromParma, previously on loan atFamalicão",Summer 2026,France
Francis Coquelin,Nantes,Laval,toLaval,Summer 2026,France
Giorgi Abuashvili,Kolkheti Poti,Metz,on loan fromKolkheti Poti,Summer 2026,France
Jean-Philippe Gbamin,Metz,CSKA Sofia,toCSKA Sofia,Summer 2026,France
Boubacar Traoré,Metz,Wolverhampton Wanderers,loan return toWolverhampton Wanderers,Summer 2026,France
Terry Yegbe,Metz,Lech Poznań,toLech Poznań,Summer 2026,France
Yannis Lawson,Metz,RFC Seraing,on loan toRFC Seraing,Summer 2026,France
Ismaël Guerti,Metz,Grazer AK,toGrazer AK,Summer 2026,France
Kevin Van Den Kerkhof,Metz,Charleroi,"toCharleroi, previously on loan",Summer 2026,France
Joseph Nduquidi,Metz,Farense,"toFarense, previously on loan atAmiens",Summer 2026,France
Mahi-Nathan Gnemagnon,Metz,RFC Seraing,on loan toRFC Seraing,Summer 2026,France
Mamour Ndiaye,Sarpsborg 08,Saint-Étienne,fromSarpsborg 08,Summer 2026,France
Thierno Ballo,Wolfsberger AC,Saint-Étienne,"fromWolfsberger AC, previously on loan atMillwall",Summer 2026,France
Jakob Breum,Go Ahead Eagles,Saint-Étienne,fromGo Ahead Eagles,Summer 2026,France
Áron Csongvai,AIK,Saint-Étienne,fromAIK,Summer 2026,France
Sohaib Naïr,Guingamp,Saint-Étienne,fromGuingamp,Summer 2026,France
Florian Tardieu,Saint-Étienne,Montpellier,toMontpellier,Summer 2026,France
Axel Dodote,Saint-Étienne,Pau,on loan toPau,Summer 2026,France
Beres Owusu,Saint-Étienne,Grazer AK,"toGrazer AK, previously on loan",Summer 2026,France
Enzo Mayilla,Saint-Étienne,Dunkerque,"toDunkerque, previously on loan atAubagne Air Bel",Summer 2026,France
Elyaz Zidane,Betis B,Red Star,fromBetis B,Summer 2026,France
Leonardo Buta,Udinese,Red Star,"fromUdinese, previously on loan atRio Ave",Summer 2026,France
Quentin Beunardeau,Red Star,Cannes,toCannes,Summer 2026,France
Damjan Pavlović,Kauno Žalgiris,Rodez,fromKauno Žalgiris,Summer 2026,France
Mathis Touho,Villefranche,Rodez,fromVillefranche,Summer 2026,France
Antonin Cartillier,Rouen,Rodez,fromRouen,Summer 2026,France
Mohamed Achi,Rodez,Cherno More,toCherno More,Summer 2026,France
Taïryk Arconte,Rodez,Millwall,toMillwall,Summer 2026,France
Nolan Galves,Rodez,West Bromwich Albion,toWest Bromwich Albion,Summer 2026,France
Alexis Trouillet,Rodez,Standard Liège,toStandard Liège,Summer 2026,France
Tom Ritzy Hülsmann,TSV Hartberg,Reims,fromTSV Hartberg,Summer 2026,France
Youssef El Kachati,NEC,Reims,fromNEC,Summer 2026,France
Alexis Sauvage,Amiens,Reims,fromAmiens,Summer 2026,France
Samuel Kotto,Gent,Reims,"fromGent, previously on loan",Summer 2026,France
Armel Zohouri,Iberia 1999,Reims,fromIberia 1999,Summer 2026,France
John Otomewo,Hapoel Jerusalem,Reims,fromHapoel Jerusalem,Summer 2026,France
Maxime Busi,Reims,Royal Antwerp,toRoyal Antwerp,Summer 2026,France
Thiemoko Diarra,Reims,Kasımpaşa,toKasımpaşa,Summer 2026,France
Adama Bojang,Reims,Charleroi,on loan toCharleroi,Summer 2026,France
Ewen Jaouen,Reims,Newcastle United,toNewcastle United,Summer 2026,France
Malcolm Jeng,Reims,Groningen,"on loan toGroningen, previously on loan atFeyenoord",Summer 2026,France
Cédric Kipré,Reims,Ipswich Town,"toIpswich Town, previously on loan",Summer 2026,France
Niama Pape Sissoko,Reims,SV Ried,"on loan toSV Ried, previously on loan atNancy",Summer 2026,France
Alexis Casadei,Basel,Annecy,"fromBasel, previously on loan",Summer 2026,France
Sacha Lima,Union Foot de Touraine,Annecy,fromUnion Foot de Touraine,Summer 2026,France
Esteban Marre,Istres,Annecy,fromIstres,Summer 2026,France
Mohamed Koné,Aston Villa,Annecy,fromAston Villa,Summer 2026,France
Pascal Mozie,Legia Warsaw,Annecy,fromLegia Warsaw,Summer 2026,France
Kadan Young,Aston Villa,Annecy,"on loan fromAston Villa, previously on loan atReading",Summer 2026,France
Zépiqueno Redmond,Aston Villa,Annecy,"on loan fromAston Villa, previously on loan atHuddersfield Town",Summer 2026,France
Triston Rowe,Annecy,Aston Villa,loan return toAston Villa,Summer 2026,France
Abdel Hbouch,Annecy,Boulogne,toBoulogne,Summer 2026,France
Travis Patterson,Annecy,Aston Villa,loan return toAston Villa,Summer 2026,France
Cédric Makutungu,Annecy,Cannes,on loan toCannes,Summer 2026,France
Ben Hamed Touré,Annecy,Barnsley,toBarnsley,Summer 2026,France
Ranjan Neelakandan,Annecy,Vaduz,"on loan toVaduz, previously on loan atYverdon-Sport",Summer 2026,France
Mamadou Camara,Laval,Montpellier,fromLaval,Summer 2026,France
Daylam Meddah,Pau,Montpellier,fromPau,Summer 2026,France
Enzo Tchato,Montpellier,Frosinone,toFrosinone,Summer 2026,France
Alexis Lefebvre,RFC Liège,Pau,fromRFC Liège,Summer 2026,France
Setigui Karamoko,Pau,Sepsi OSK,toSepsi OSK,Summer 2026,France
Neil Glossoa,Pau,Slavia Prague,toSlavia Prague,Summer 2026,France
Rayan Touzghar,Pau,Standard Liège,toStandard Liège,Summer 2026,France
Edhy Zuliani,Pau,Toulouse,loan return toToulouse,Summer 2026,France
Maxence Prévot,OH Leuven,Dunkerque,fromOH Leuven,Summer 2026,France
Moha Ramos,Marino,Dunkerque,fromMarino,Summer 2026,France
Lenny Vallier,Nacional,Dunkerque,fromNacional,Summer 2026,France
Franck Atoen,Samsunspor,Dunkerque,on loan fromSamsunspor,Summer 2026,France
Adrien Lebeau,Hansa Rostock,Dunkerque,fromHansa Rostock,Summer 2026,France
Jordan Morel,Orléans,Dunkerque,fromOrléans,Summer 2026,France
Yegor Prutsev,Red Star Belgrade,Dunkerque,"fromRed Star Belgrade, previously on loan atOFK Beograd",Summer 2026,France
Eddy Sylvestre,Dunkerque,Farul Constanța,toFarul Constanța,Summer 2026,France
Marco Essimi,Dunkerque,Alverca,toAlverca,Summer 2026,France
Lohann Doucet,Dunkerque,Paris FC,"loan return toParis FC, later sold toVitória de Guimarães",Summer 2026,France
Aboubakary Kanté,Dunkerque,Laval,toLaval,Summer 2026,France
Florent Sanchez Da Silva,Orléans,Guingamp,fromOrléans,Summer 2026,France
Teddy Averlant,Amiens,Guingamp,fromAmiens,Summer 2026,France
Samir Ben Brahim,Versailles,Guingamp,fromVersailles,Summer 2026,France
Jasser Chamakh,Saint-Priest,Guingamp,fromSaint-Priest,Summer 2026,France
Kalidou Sidibé,Guingamp,Akhmat Grozny,toAkhmat Grozny,Summer 2026,France
Eden Gassama,Guingamp,La Roche-sur-Yon,on loan toLa Roche-sur-Yon,Summer 2026,France
Yohann Magnin,CSKA 1948,Grenoble,fromCSKA 1948,Summer 2026,France
Farouq Limouri,FC Eindhoven,Grenoble,fromFC Eindhoven,Summer 2026,France
Shaquil Delos,Grenoble,RAAL La Louvière,toRAAL La Louvière,Summer 2026,France
Loris Mouyokolo,Grenoble,Baltika Kaliningrad,toBaltika Kaliningrad,Summer 2026,France
Alan Kerouedan,Grenoble,Cannes,"toCannes, previously on loan atRouen",Summer 2026,France
Luís Semedo,Sunderland,Clermont,"fromSunderland, previously on loan atMoreirense",Summer 2026,France
İlhan Fakılı,Clermont,Beşiktaş,toBeşiktaş,Summer 2026,France
Kader Bamba,Clermont,Granada,toGranada,Summer 2026,France
Héliohdino Tavares,Guingamp B,Nancy,fromGuingamp B,Summer 2026,France
Issam Bouaoune,Châteauroux,Nancy,fromChâteauroux,Summer 2026,France
Kouroufia Kébé,Orléans,Nancy,fromOrléans,Summer 2026,France
